Date,TeamWinner,Team1ID,Team2ID,RegionID,Top1Champion,Jg1Champion,Mid1Champion,Adc1Champion,Supp1Champion,Top2Champion,Jg2Champion,Mid2Champion,Adc2Champion,Supp2Champion,Top1ID,Jg1ID,Mid1ID,Adc1ID,Supp1ID,Top2ID,Jg2ID,Mid2ID,Adc2ID,Supp2ID
6/3/2024,1,171,125,14,109,148,138,113,129,140,151,127,123,87,1156,857,680,188,731,882,862,620,433,1066
6/3/2024,2,125,171,14,67,69,88,142,87,38,97,2,27,104,882,862,620,433,1066,1156,857,680,188,731
6/3/2024,1,171,125,14,67,78,135,73,80,51,156,44,123,104,1156,857,680,188,731,882,862,620,433,1066
5/3/2024,1,72,144,14,109,69,138,113,87,93,130,135,142,104,1384,582,1401,1113,23,560,429,220,1268,527
5/3/2024,2,144,72,14,109,104,130,53,17,51,151,12,113,87,560,429,220,1268,527,1384,582,1401,1113,23
5/3/2024,2,144,72,14,140,64,130,142,104,24,147,88,154,101,560,429,220,1268,527,1384,582,1401,1113,23
29/2/2024,1,144,119,14,67,156,94,142,10,133,69,68,123,15,560,429,220,1268,527,149,1118,635,670,1338
29/2/2024,1,119,144,14,38,151,58,54,87,20,112,130,142,104,149,1118,635,670,1338,560,429,220,1268,527
29/2/2024,1,144,119,14,140,50,44,31,10,62,151,2,142,87,560,429,220,1268,527,149,1118,635,670,1338
29/2/2024,1,125,215,14,1,147,44,142,87,151,91,130,113,129,882,862,620,433,1066,19,756,1491,9,977
29/2/2024,1,215,125,14,151,91,94,31,10,106,104,12,142,44,19,756,1491,9,977,882,862,620,272,1066
29/2/2024,1,125,215,14,140,147,44,142,104,38,153,130,113,87,882,862,620,433,1066,19,756,1491,9,977
28/2/2024,1,215,72,14,151,156,56,123,87,38,112,51,142,105,19,756,1491,9,977,1384,582,1401,1113,23
28/2/2024,1,72,215,14,67,69,12,113,87,109,97,44,142,17,1384,582,1401,1113,23,19,756,1491,9,977
28/2/2024,1,215,72,14,151,91,2,123,5,1,148,12,113,87,19,756,1491,9,977,1384,582,1401,1113,23
28/2/2024,2,6,125,14,140,69,56,53,104,109,148,88,123,87,491,444,841,1225,432,882,862,620,433,1066
28/2/2024,2,6,125,14,1,148,88,54,87,140,69,94,142,104,491,444,841,1225,432,882,862,620,272,1066
27/2/2024,1,171,144,14,50,16,120,113,87,106,112,12,154,101,1156,857,680,188,731,560,429,220,1268,527
27/2/2024,1,171,144,14,106,112,130,55,5,67,148,88,27,104,1156,857,680,188,731,560,429,220,1268,527
27/2/2024,2,6,72,14,109,156,12,113,78,138,104,94,123,87,491,444,841,1225,432,1384,582,1401,1113,23
27/2/2024,2,6,72,14,109,97,130,113,87,138,69,44,142,104,491,444,841,1225,432,1384,582,1401,1113,23
22/2/2024,2,72,125,14,109,49,12,73,80,138,69,94,27,104,882,862,620,433,1066,1384,582,1401,1113,23
22/2/2024,2,72,125,14,109,78,158,123,104,1,69,39,113,87,882,862,620,433,1066,1384,582,1401,1113,23
22/2/2024,1,6,119,14,67,148,56,123,87,38,69,44,142,104,491,444,841,1225,432,149,1118,635,670,1338
22/2/2024,2,119,6,14,140,147,130,142,87,82,156,138,54,104,149,1118,635,670,1338,491,444,841,1225,432
21/2/2024,2,6,171,14,50,14,130,123,104,3,112,158,142,87,491,444,841,1225,432,1156,857,680,188,731
21/2/2024,1,171,6,14,50,156,44,19,10,1,104,138,142,113,1156,857,680,188,731,491,444,841,1225,432
21/2/2024,1,215,119,14,38,97,130,142,104,158,112,12,123,70,19,756,1491,9,977,149,1118,635,670,1338
21/2/2024,2,119,215,14,1,104,44,10,129,38,147,138,142,87,1156,857,680,188,731,491,444,841,1225,432
20/2/2024,1,144,215,14,67,14,56,154,101,38,112,12,142,104,560,429,220,1268,527,19,756,1491,9,977
20/2/2024,2,215,144,14,1,147,130,123,17,41,47,12,142,87,19,756,1491,9,977,560,429,220,1268,527
20/2/2024,2,125,171,14,67,49,94,10,5,158,148,130,142,104,882,862,620,433,1066,1156,857,680,188,731
20/2/2024,2,125,171,14,1,91,130,113,87,50,112,138,142,104,882,862,620,433,1066,1156,857,680,188,731
15/2/2024,2,144,72,14,140,112,12,55,104,109,147,130,142,5,560,429,220,1268,527,1384,582,1401,1113,23
15/2/2024,1,72,144,14,109,112,138,142,87,140,104,130,73,80,1384,582,1401,1113,23,560,429,220,1268,527
15/2/2024,2,215,171,14,67,147,94,73,80,41,156,130,142,87,19,756,1491,9,977,1156,857,680,188,731
15/2/2024,2,215,171,14,1,153,94,113,87,67,47,135,54,78,19,756,1491,9,977,1156,857,680,188,731
14/2/2024,1,6,215,14,82,47,135,142,104,67,156,12,52,70,491,444,841,1225,432,19,756,1491,9,977
14/2/2024,2,215,6,14,1,91,94,55,44,50,97,12,113,87,19,756,1491,9,977,491,444,841,1225,432
14/2/2024,1,171,119,14,109,148,130,73,80,51,47,135,113,78,1156,246,680,188,731,149,1118,635,670,1355
14/2/2024,1,171,119,14,67,29,135,73,80,158,112,12,113,78,1156,246,680,188,857,149,1118,635,670,1355
13/2/2024,2,119,72,14,67,153,123,9,105,158,147,130,27,98,149,1118,635,670,1338,1384,582,1401,1113,23
13/2/2024,2,119,72,14,51,156,11,31,56,120,47,135,54,87,149,1118,635,670,1338,1384,582,1401,1113,23
13/2/2024,2,144,125,14,67,6,12,31,10,38,147,130,142,113,560,429,220,1268,527,882,862,620,433,1066
13/2/2024,1,125,144,14,67,147,138,31,56,50,148,2,73,85,882,862,620,433,1066,560,429,220,1268,527
8/2/2024,1,144,6,14,50,104,94,55,105,1,112,12,73,80,560,429,220,1268,527,491,444,841,1225,432
